uid,clfir_final_pipeline_bleu,adapter2_more_imp_pipeline_bleu,delta_more_imp_minus_final_pipeline_bleu,clfir_final_pipeline_rouge1,adapter2_more_imp_pipeline_rouge1,delta_more_imp_minus_final_pipeline_rouge1,clfir_final_pipeline_rouge2,adapter2_more_imp_pipeline_rouge2,delta_more_imp_minus_final_pipeline_rouge2,clfir_final_pipeline_rougeL,adapter2_more_imp_pipeline_rougeL,delta_more_imp_minus_final_pipeline_rougeL,clfir_final_pipeline_meteor,adapter2_more_imp_pipeline_meteor,delta_more_imp_minus_final_pipeline_meteor,clfir_final_pipeline_bertscore_f1,adapter2_more_imp_pipeline_bertscore_f1,delta_more_imp_minus_final_pipeline_bertscore_f1
2580,0.1375418202651829,0.1640554485420589,0.026513628276875978,0.3728813559322034,0.392156862745098,0.019275506812894583,0.1403508771929824,0.2448979591836734,0.10454708199069102,0.2711864406779661,0.392156862745098,0.12097042206713188,0.3198038992133166,0.3444025028905665,0.02459860367724992,0.8885223269462585,0.8925210237503052,0.003998696804046631
2581,0.0429583271119845,0.1037008666589909,0.060742539547006404,0.40625,0.3968253968253968,-0.009424603174603197,0.1428571428571428,0.1774193548387097,0.03456221198156689,0.234375,0.2063492063492063,-0.02802579365079369,0.2278716256734946,0.2402466841482204,0.012375058474725809,0.8510429859161377,0.848461389541626,-0.0025815963745117188
2583,0.1955779019047063,0.2490784951946792,0.05350059328997289,0.4897959183673468,0.608695652173913,0.11889973380656615,0.2553191489361701,0.3636363636363636,0.10831721470019351,0.3673469387755102,0.4782608695652174,0.11091393078970718,0.5561674008810572,0.6847487082408801,0.12858130735982287,0.8456926345825195,0.8506911396980286,0.004998505115509033
2584,0.2975954946911795,0.2245569752111347,-0.0730385194800448,0.5671641791044776,0.4912280701754386,-0.07593610892903896,0.3076923076923077,0.2909090909090908,-0.016783216783216925,0.417910447761194,0.4210526315789473,0.0031421838177532746,0.54688,0.4167040325232415,-0.13017596747675853,0.9065384864807128,0.8905459046363831,-0.015992581844329723
2585,0.0293893467174618,0.0074695008313745,-0.021919845886087298,0.3243243243243243,0.231578947368421,-0.09274537695590329,0.073394495412844,0.043010752688172,-0.030383742724672,0.1801801801801801,0.1263157894736842,-0.0538643907064959,0.1665225285694616,0.1064056801427795,-0.06011684842668209,0.8326156735420227,0.8161453008651733,-0.016470372676849365
2586,0.041511436702024,0.0422594281843003,0.0007479914822762987,0.2222222222222222,0.1818181818181818,-0.040404040404040414,0.0930232558139534,0.0952380952380952,0.0022148394241418012,0.2222222222222222,0.1363636363636363,-0.08585858585858591,0.2298850574712643,0.3328191741813004,0.1029341167100361,0.808763325214386,0.8186005353927612,0.009837210178375244
2588,0.0500293490087176,0.0200740330945878,-0.029955315914129796,0.3157894736842105,0.2696629213483146,-0.04612655233589591,0.1505376344086021,0.1149425287356321,-0.03559510567297,0.1894736842105263,0.1348314606741573,-0.054642223536368995,0.2614275465365053,0.2096609391427965,-0.05176660739370881,0.8471768498420715,0.8300560712814331,-0.017120778560638428
2589,0.304777211219893,0.2470985811880429,-0.05767863003185009,0.6666666666666665,0.6486486486486486,-0.018018018018017945,0.4285714285714286,0.3055555555555556,-0.12301587301587302,0.4722222222222222,0.4324324324324324,-0.03978978978978981,0.5430160173462965,0.5345431406064209,-0.008472876739875512,0.906708836555481,0.8982141613960266,-0.008494675159454346
2590,0.1485011104300923,0.1599214476819184,0.011420337251826118,0.44,0.4347826086956522,-0.005217391304347785,0.1666666666666666,0.2272727272727272,0.06060606060606061,0.36,0.391304347826087,0.03130434782608699,0.4894736842105263,0.4502878976835514,-0.03918578652697491,0.8446757197380066,0.8476582169532776,0.002982497215270996
2591,0.1481284572786972,0.2615048995114725,0.11337644223277529,0.6229508196721312,0.5283018867924528,-0.09464893287967835,0.2372881355932203,0.2745098039215686,0.037221668328348306,0.360655737704918,0.3396226415094339,-0.021033096195484102,0.5596442897321223,0.4636350736249222,-0.09600921610720015,0.9089598059654236,0.8766686320304871,-0.03229117393493652
2592,0.1475641481372325,0.1602717705864099,0.012707622449177391,0.5862068965517242,0.5555555555555555,-0.03065134099616873,0.25,0.2692307692307692,0.019230769230769218,0.3793103448275862,0.4074074074074074,0.028097062579821197,0.453872400695294,0.4411997467553023,-0.012672653939991674,0.8836202025413513,0.8836802244186401,6.002187728881836e-05
2593,0.2268650466088001,0.1120806585132547,-0.1147843880955454,0.4166666666666666,0.34375,-0.07291666666666657,0.2857142857142857,0.1935483870967741,-0.0921658986175116,0.3888888888888889,0.34375,-0.045138888888888895,0.3267755681818181,0.215028901734104,-0.11174666644771408,0.8725343346595764,0.8530808687210083,-0.019453465938568115
2594,0.0962301547456105,0.0687907157178651,-0.0274394390277454,0.4339622641509434,0.3529411764705882,-0.08102108768035521,0.1730769230769231,0.12,-0.053076923076923105,0.3018867924528302,0.2941176470588235,-0.0077691453940066935,0.2292999806088812,0.1812076146448898,-0.04809236596399141,0.8614771366119385,0.8395535945892334,-0.021923542022705078
2595,0.2582756218057526,0.1819189310580931,-0.0763566907476595,0.6470588235294118,0.5862068965517241,-0.06085192697768771,0.303030303030303,0.3571428571428571,0.05411255411255411,0.4411764705882353,0.3793103448275862,-0.06186612576064909,0.5568947762591275,0.3639081418731014,-0.19298663438602615,0.9031550288200378,0.9021176695823668,-0.0010373592376710095
2596,0.3015234483906837,0.1704452669397183,-0.1310781814509654,0.6875,0.5901639344262296,-0.09733606557377039,0.3548387096774193,0.1694915254237288,-0.1853471842536905,0.59375,0.3934426229508197,-0.20030737704918028,0.6233632622521512,0.3804657193455895,-0.24289754290656174,0.9094498753547668,0.8881374597549438,-0.021312415599822998
2597,0.048867899472826,0.0506071975046792,0.0017392980318532009,0.2222222222222222,0.2950819672131147,0.07285974499089248,0.0769230769230769,0.1016949152542373,0.024771838331160395,0.1851851851851852,0.2295081967213114,0.044323011536126194,0.1480263157894736,0.2544378698224851,0.10641155403301153,0.7961787581443787,0.8202545642852783,0.024075806140899658
2599,0.0245883008506798,0.0062391623503461,-0.018349138500333703,0.2051282051282051,0.1643835616438356,-0.040744643484369486,0.0789473684210526,0.056338028169014,-0.022609340252038597,0.1025641025641025,0.1095890410958904,0.0070249385317879,0.1342454337106743,0.1073554421768707,-0.0268899915338036,0.8115039467811584,0.793782651424408,-0.01772129535675049
